n_steps = 30 # actions of each rollout
n_iter = 1000 # iterations of training
batch_size = 50 # samples of each iteration


iteration 0. mean reward:    -8.43. max reward:    -1.49.
Creating window glfw
iteration 25. mean reward:     -2.4. max reward:   -0.593.
iteration 50. mean reward:    -1.96. max reward:   -0.267.
iteration 75. mean reward:    -2.17. max reward:   -0.564.
iteration 100. mean reward:    -1.77. max reward:   -0.357.
iteration 125. mean reward:    -1.84. max reward:   -0.376.
iteration 150. mean reward:    -2.19. max reward:   -0.392.
iteration 175. mean reward:    -2.08. max reward:     -0.5.
iteration 200. mean reward:    -2.05. max reward:   -0.444.
iteration 225. mean reward:    -2.03. max reward:   -0.567.
iteration 250. mean reward:    -1.91. max reward:   -0.356.
iteration 275. mean reward:    -2.16. max reward:   -0.458.
iteration 300. mean reward:    -2.14. max reward:   -0.427.
iteration 325. mean reward:    -1.79. max reward:   -0.459.
iteration 350. mean reward:    -1.83. max reward:   -0.453.
iteration 375. mean reward:     -2.3. max reward:   -0.305.
iteration 400. mean reward:    -1.96. max reward:   -0.359.
iteration 425. mean reward:    -1.83. max reward:   -0.365.
iteration 450. mean reward:    -1.98. max reward:   -0.311.
iteration 475. mean reward:    -1.96. max reward:   -0.508.
iteration 500. mean reward:    -2.06. max reward:   -0.581.
iteration 525. mean reward:    -2.19. max reward:   -0.409.
iteration 550. mean reward:    -2.04. max reward:   -0.294.
iteration 575. mean reward:    -2.25. max reward:   -0.342.
iteration 600. mean reward:    -1.98. max reward:   -0.429.
iteration 625. mean reward:    -2.12. max reward:   -0.302.
iteration 650. mean reward:    -2.29. max reward:   -0.318.
iteration 675. mean reward:    -2.07. max reward:   -0.213.
iteration 700. mean reward:    -1.82. max reward:   -0.334.
iteration 725. mean reward:    -2.25. max reward:   -0.518.
iteration 750. mean reward:    -2.32. max reward:   -0.549.
iteration 775. mean reward:    -2.16. max reward:   -0.297.
iteration 800. mean reward:    -2.27. max reward:   -0.422.
iteration 825. mean reward:    -2.22. max reward:   -0.777.
iteration 850. mean reward:    -1.91. max reward:   -0.336.
iteration 875. mean reward:    -1.88. max reward:   -0.264.
iteration 900. mean reward:    -2.08. max reward:   -0.653.
iteration 925. mean reward:    -1.93. max reward:   -0.423.
iteration 950. mean reward:    -1.97. max reward:   -0.325.
iteration 975. mean reward:    -2.18. max reward:   -0.332.






n_steps = 20 # actions of each rollout
n_iter = 800 # iterations of training
batch_size = 50 # samples of each iteration


iteration 0. mean reward:    -7.87. max reward:   -0.694.
Creating window glfw
iteration 25. mean reward:    -1.67. max reward:   -0.155.
iteration 50. mean reward:    -1.75. max reward:   -0.204.
iteration 75. mean reward:    -1.45. max reward:  -0.0772.
iteration 100. mean reward:    -1.63. max reward:   -0.338.
iteration 125. mean reward:    -1.44. max reward:   -0.157.
iteration 150. mean reward:    -1.56. max reward:   -0.285.
iteration 175. mean reward:    -1.41. max reward:   -0.204.
iteration 200. mean reward:     -1.6. max reward:   -0.192.
iteration 225. mean reward:    -1.66. max reward:   -0.165.
iteration 250. mean reward:    -1.54. max reward:   -0.176.
iteration 275. mean reward:    -1.49. max reward:  -0.0694.
iteration 300. mean reward:    -1.36. max reward:    -0.19.
iteration 325. mean reward:    -1.53. max reward:   -0.218.
iteration 350. mean reward:    -1.54. max reward:   -0.104.
iteration 375. mean reward:    -1.56. max reward:   -0.381.
iteration 400. mean reward:    -1.54. max reward:   -0.104.
iteration 425. mean reward:    -1.77. max reward:   -0.307.
iteration 450. mean reward:    -1.51. max reward:   -0.086.
iteration 475. mean reward:    -1.58. max reward:   -0.463.
iteration 500. mean reward:    -1.54. max reward:   -0.072.
iteration 525. mean reward:    -1.39. max reward:   -0.195.
iteration 550. mean reward:    -1.57. max reward:   -0.303.
iteration 575. mean reward:    -1.55. max reward:   -0.319.
iteration 600. mean reward:    -1.38. max reward:   -0.317.
iteration 625. mean reward:     -1.4. max reward:    -0.37.
iteration 650. mean reward:    -1.39. max reward:    -0.31.
iteration 675. mean reward:    -1.46. max reward:   -0.179.
iteration 700. mean reward:    -1.44. max reward:   -0.197.
iteration 725. mean reward:    -1.52. max reward:   -0.214.
iteration 750. mean reward:    -1.58. max reward:     -0.2.
iteration 775. mean reward:     -1.6. max reward:   -0.181.




